head,type_guess,mention_count,video_count,first_video_id,first_t,first_title,evidence,status
П. Г. Гайдуков,names,20,1,5lUKwBvBe5g,197,"Наблюдатель. Елена Рыбина, Андрей Зализняк, Пётр Гайдуков и Савва Михеев. Эфир от 27.10.2015",м. Петр Григорьевич Гайдуков. Здравствуйте. П.Г. Гайдуков: Здравствуйте. Ф. Толстая: Заместитель директора института арх,unreviewed
В. М. Тихомиров,names,15,2,BZQgfGBtCho,348,"Фильм о А.А.Зализняке «Коэффициент достоверности», 2019","ные. 00:06:35 В. М. Тихомиров Он действительно писал и говорил на неограниченном числе языков, неизвестно на скольких: н",unreviewed
С. М. Михеев,names,9,1,5lUKwBvBe5g,262,"Наблюдатель. Елена Рыбина, Андрей Зализняк, Пётр Гайдуков и Савва Михеев. Эфир от 27.10.2015","С.М. Михеев: Ну, не совсем точно. Эпиграфист, больше историк, но я работаю на стыке дисциплин, и это интересно. Ф. Толст",unreviewed
А. К. Жолковский,names,3,1,mBKJLH0EU7M,787,Яндекс Гугл и алгоритм Зализняка Острова Телеканал Культура,"А. К. Жолковский [читает]: ЗАЛИЗНЯК – полиглот, скрывающий свою страсть к лингвистике под маской полигамии и любви к фут",unreviewed
В. Курская,names,2,1,uzzjnpPmEDQ,333,Андрей Зализняк. История русского языка,"ора слог выпал – В. Курская], что значит ‘на языке славян’. И эти названия совершенно отчетливы: первые являются древнес",unreviewed
С. А. Бурлак,names,2,1,3xK_iAkr3rY,2510,"Об Очерке, академике Зализняке и санскрите (презентация книги)","рошу выйти на сцену Бурлак Светлану Анатольевну. Я понял, насколько прекрасен санскрит, когда начал изучать тохарские яз",unreviewed
«Слово о полку Игореве»,subject_index,72,9,3xK_iAkr3rY,6592,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Кстати, один из принципов Андрея Анатольевича, которым он всегда руководствовался, который он всегда в своих докладах по",unreviewed
«Муми-Тролль»,subject_index,10,3,3xK_iAkr3rY,1317,"Об Очерке, академике Зализняке и санскрите (презентация книги)",Марцис приложил к новому изданию «Очерка» популярную лекцию о древнеиндийском языке. Вообще популярные лекции надо будет,unreviewed
«Русское именное словоизменение»,subject_index,6,1,3xK_iAkr3rY,1982,"Об Очерке, академике Зализняке и санскрите (презентация книги)","А теперь по поводу опечаток. От ошибок, опечаток и описок не свободен никто, даже Зализняк. Ну, по поводу уповать почти ",unreviewed
«Очерк»,subject_index,4,1,3xK_iAkr3rY,482,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Андрей Анатольевич говорил, что после получения статуса академика я первый, кто попытался его так безапелляционно правит",unreviewed
«Прогулки по Европе»,subject_index,4,2,3xK_iAkr3rY,1261,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Я имею к этому некоторое отношение, у меня есть формальный статус в академии наук, в комиссии по наследию Андрея Анатоль",unreviewed
«не рекомендуется»,subject_index,4,2,H6RAja4HOzs,1500,ACADEMIA. Андрей Зализняк. Русский устный. 2 лекция. Канал Культура,"Следующая ступень — про́дал и прода́л. Почти как про́пил и пропи́л, но прода́л считается чуть-чуть хуже: оно идет по руб",unreviewed
«Грамматический строй санскрита»,subject_index,3,1,3xK_iAkr3rY,2328,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Об «Очерке». Если получается составить, а еще и сдать, это прекрасно. Зализняк учился у французов: Луи Рену, который учи",unreviewed
«Русском именном словоизменении»,subject_index,3,1,3xK_iAkr3rY,2070,"Об Очерке, академике Зализняке и санскрите (презентация книги)",Лучезарный свободный Моцарт и при этом «Русское именное словоизменение». Когда через 10 лет вышел «Грамматический словар,unreviewed
«Строй ведийского языка»,subject_index,3,2,3xK_iAkr3rY,2328,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Об «Очерке». Если получается составить, а еще и сдать, это прекрасно. Зализняк учился у французов: Луи Рену, который учи",unreviewed
«Без кустóды»,subject_index,2,1,Hf1kFHCFb4E,1870,ACADEMIA. Андрей Зализняк. Русский устный. 1 лекция. Канал Культура,"Для вас ведь не составит какого-нибудь труда образовать от этого слова родительный падеж? Сказать, что обойдемся без чег",unreviewed
«Грамматический словарь русского языка»,subject_index,2,2,3xK_iAkr3rY,6438,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Все статьи Корша характеризуются необыкновенной эрудицией, яркими идеями, но все-таки в крупные исследования он их не ра",unreviewed
"«Да, веселятся Небесная, да, радуются земная»",subject_index,2,1,JNI6DtX65dg,1260,"А.А. Зализняк. О берестяных грамотах из раскопок 2010 г., лекция 1","Там всего восемь гласов, весь тропарь, конечно, я читать не буду, но глас третий был: «Да, веселятся Небесная, да, радую",unreviewed
«Жар-птица»,subject_index,2,1,bHRD_IHAwQo,242,Зализняк. О Велесовой книге. 2008,"В 1941 году Изенбек умер, а его квартира подверглась обыску со стороны гестапо, и все, [чем он владел], пропало. Вот так",unreviewed
«Жар-птице»,subject_index,2,1,bHRD_IHAwQo,1004,Зализняк. О Велесовой книге. 2008,"Дальше. Машинопись Миролюбова сохранилась, она имеется, и она была опубликована. И, как выясняется, она примерно в трехс",unreviewed
«Как изменяется внешняя сторона слова»,subject_index,2,1,qrzM9kqAD40,0,А.А. Зализняк. Как изменяется внешняя сторона слова,"Как это называется? Я предпочитаю это назвать так: «Как изменяется внешняя сторона слова». И это новое только отчасти, п",unreviewed
«Летом в Новгороде у меня не было доступа к почте»,subject_index,2,1,3xK_iAkr3rY,604,"Об Очерке, академике Зализняке и санскрите (презентация книги)",Решение в пользу именно репринта было принято далеко не сразу. Сперва было исправлено 300 опечаток в новом наборе в дале,unreviewed
«Мерзлóты»,subject_index,2,1,Hf1kFHCFb4E,1905,ACADEMIA. Андрей Зализняк. Русский устный. 1 лекция. Канал Культура,"Допустим, я предложу вам такой эксперимент. Вы заинтересовались вечной мерзлотой. И вот вам пришла в голову мысль, что, ",unreviewed
«Наблюдатель»,subject_index,2,1,5lUKwBvBe5g,15,"Наблюдатель. Елена Рыбина, Андрей Зализняк, Пётр Гайдуков и Савва Михеев. Эфир от 27.10.2015",Ф. Толстая: Здравствуйте! В студии программы «Наблюдатель» Фёкла Толстая. И сегодня мы будем говорить о новгородских бер,unreviewed
«Наука и жизнь»,subject_index,2,1,3xK_iAkr3rY,95,"Об Очерке, академике Зализняке и санскрите (презентация книги)",В ноябре прошлого года в моем списке предстоящих дел оставалась невычеркнутой строчка. Уже на несколько страниц вперед в,unreviewed
«Науке и жизни»,subject_index,2,1,3xK_iAkr3rY,4718,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Эта игра, которую он сам изобрел, это близко к тому, что называется Scrabble в англоязычном варианте, и в «Науке и жизни",unreviewed
«Очерк грамматики санскрита»,subject_index,2,1,3xK_iAkr3rY,2328,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Об «Очерке». Если получается составить, а еще и сдать, это прекрасно. Зализняк учился у французов: Луи Рену, который учи",unreviewed
«Хотели б вы»,subject_index,2,1,qrzM9kqAD40,5972,А.А. Зализняк. Как изменяется внешняя сторона слова,"Ну и как и сейчас можно, у нас сейчас б тоже ведь может быть. «Хотели б вы», пожалуйста, чистое б, «хотел бы я», «хотели",unreviewed
«Школа младограмматиков»,subject_index,2,1,qrzM9kqAD40,929,А.А. Зализняк. Как изменяется внешняя сторона слова,"В чем же дело? Оказывается, что имеется два главных источника такой ситуации, что перед нами вот этого [показывает на фо",unreviewed
«Элементы большой науки»,subject_index,2,1,3xK_iAkr3rY,7667,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Значит, когда произошла вторая лекция или третья, я уже не помню, конечно, этого, но к нам в какой-то момент пришли люди",unreviewed
"«а я говорю капость, а пакость я не говорю»",subject_index,2,1,qrzM9kqAD40,1678,А.А. Зализняк. Как изменяется внешняя сторона слова,"Ну, например, скажем, было некоторое изменение фонетическое, но не автоматическое, которое привело к тому, что в некотор",unreviewed
«берестяных»,subject_index,2,1,3xK_iAkr3rY,1049,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Вскоре после смерти Андрея Анатольевича на семинаре «Математические методы в языкознании» (семинар, основанный Владимиро",unreviewed
"«не надо говорить капость, надо говорить пакость»",subject_index,2,1,qrzM9kqAD40,1678,А.А. Зализняк. Как изменяется внешняя сторона слова,"Ну, например, скажем, было некоторое изменение фонетическое, но не автоматическое, которое привело к тому, что в некотор",unreviewed
«север – юг»,subject_index,2,1,YnFUfF18Pzk,6011,Зализняк. Контуры истории русского языка. 2012,"Так что в этом смысле современный русский язык является, во-первых, смешанным русским народным с церковнославянским по п",unreviewed
«фонетические законы не знают исключений»,subject_index,2,1,qrzM9kqAD40,929,А.А. Зализняк. Как изменяется внешняя сторона слова,"В чем же дело? Оказывается, что имеется два главных источника такой ситуации, что перед нами вот этого [показывает на фо",unreviewed
