head,type_guess,mention_count,video_count,first_video_id,first_t,first_title,evidence,status
Сычевичи,ethnonyms,3,1,sjTVG_aUtl4,569,ACADEMIA. Андрей Зализняк. Берестяные грамоты. 2 лекция. Канал Культура,"«Жизнобоуде погоублене» — что такое погублене? Из зала: Погублен. А. А. Зализняк: Погублен, попросту говоря, убит. оу сr",unreviewed
Ведийский язык,languages,9,3,3xK_iAkr3rY,2328,"Об Очерке, академике Зализняке и санскрите (презентация книги)","Об «Очерке». Если получается составить, а еще и сдать, это прекрасно. Зализняк учился у французов: Луи Рену, который учи",unreviewed
Великорусский язык,languages,7,4,IAMi0Lo7tMM,833,Язык берестяных грамот (рассказывает лингвист Андрей Зализняк),"П. Алешковский: Отлично. Вот живой русский язык. А мы все, если внимательно вслушивались, если еще слушали какие-то курс",unreviewed
Древнешведский язык,languages,3,3,bHRD_IHAwQo,1963,Зализняк. О Велесовой книге. 2008,"Так вот, это собирательное название русь уже применяется и к славянскому населению. Объясняется это прежде всего тем, чт",unreviewed
Древнелатинский язык,languages,2,1,qrzM9kqAD40,6497,А.А. Зализняк. Как изменяется внешняя сторона слова,"Пожалуй, только еще один момент. Это то, что называется народной этимологией. Слышали такое словосочетание? Слышали. Ну ",unreviewed
Тохарский язык,languages,2,1,3xK_iAkr3rY,2510,"Об Очерке, академике Зализняке и санскрите (презентация книги)","«Мой очерк стоит вовсе не в ряду с Уитни или Рену, а в одном ряду с замечательной 90-страничной книжечкой Майрхофера. И ",unreviewed
А. Мозжухин,names,117,2,P0G948VmXtM,1,Андрей Зализняк Интереснейшая история русского языка,А. Мозжухин: Здравствуйте уважаемые ситизрители! Это прямая трансляция по вещательной технологии “Ситивизор” из студии O,unreviewed
С. П. Капица,names,89,1,yBdll96bosQ,21,"Зализняк. О прошлом и будущем русского языка (Очевидное-невероятное, 2009)",С.П. Капица: Добрый день. Наша сегодняшняя передача «Очевидное — невероятное» посвящена проблемам лингвистики.,unreviewed
П. Алешковский,names,63,1,IAMi0Lo7tMM,18,Язык берестяных грамот (рассказывает лингвист Андрей Зализняк),"П. Алешковский: Добрый день. Это «Факультет ненужных вещей», как всегда, в студии Владимир Аверин — мой коллега, я Петр ",unreviewed
Е. А. Рыбина,names,47,3,5lUKwBvBe5g,171,"Наблюдатель. Елена Рыбина, Андрей Зализняк, Пётр Гайдуков и Савва Михеев. Эфир от 27.10.2015","Елена Александровна Рыбина. Здравствуйте, Елена Александровна. Е.А. Рыбина: Здравствуйте. Ф. Толстая: Профессор кафедры ",unreviewed
В. Аверин,names,33,1,IAMi0Lo7tMM,18,Язык берестяных грамот (рассказывает лингвист Андрей Зализняк),", в студии Владимир Аверин — мой коллега, я Петр Алешковский, и сегодня у нас в гостях замечательный ученый. В. Аверин: ",unreviewed
