head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
Любительская лингвистика,lyubitelskaya-lingvistika,https://gasyoun.github.io/BookIndex/subject/list/item/subject/lyubitelskaya-lingvistika/,,mumintroll,,,,,
Махабхарата,makhabkharata,https://gasyoun.github.io/BookIndex/subject/list/item/subject/makhabkharata/,1,mumintroll,140 141 153,,,,
метод внутренней реконструкции,metod-vnutrennei-rekonstruktsii,https://gasyoun.github.io/BookIndex/subject/list/item/subject/metod-vnutrennei-rekonstruktsii/,1,mumintroll,67 101 102 103 104 105 106 109,,,,
моногенез,monogenez,https://gasyoun.github.io/BookIndex/subject/list/item/subject/monogenez/,1,mumintroll,76 77,,,,
морфемы сильные vs. слабые,morfemy-silnye-vs-slabye,https://gasyoun.github.io/BookIndex/subject/list/item/subject/morfemy-silnye-vs-slabye/,1,mumintroll,250 251 268,,,,
мягкость [согласного],myagkost-soglasnogo,https://gasyoun.github.io/BookIndex/subject/list/item/subject/myagkost-soglasnogo/,1,mumintroll,68 159 160 214 223 390,,,,
название языка,nazvanie-yazyka,https://gasyoun.github.io/BookIndex/subject/list/item/subject/nazvanie-yazyka/,1,mumintroll,54 55 56 57,,,,
народная этимология,narodnaya-etimologiya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/narodnaya-etimologiya/,,mumintroll,189,,,,
норма [языковая],norma-yazykovaya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/norma-yazykovaya/,1,mumintroll,195 259 260 266 269 364,,,,
огласовка,oglasovka,https://gasyoun.github.io/BookIndex/subject/list/item/subject/oglasovka/,1,mumintroll,148 154 155 158 161 162 164 215 230 231 232 233,,,,
оглушение согласных,oglushenie-soglasnykh,https://gasyoun.github.io/BookIndex/subject/list/item/subject/oglushenie-soglasnykh/,,mumintroll,80,,,,
оканье,okane,https://gasyoun.github.io/BookIndex/subject/list/item/subject/okane/,,mumintroll,328,,,,
определенность / неопределенность,opredelennost-neopredelennost,https://gasyoun.github.io/BookIndex/subject/list/item/subject/opredelennost-neopredelennost/,,mumintroll,131,,,,
орфография,orfografiya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/orfografiya/,1,mumintroll,68 71 80 81 82 104 126 207,,,,
отпадение конечных гласных,otpadenie-konechnykh-glasnykh,https://gasyoun.github.io/BookIndex/subject/list/item/subject/otpadenie-konechnykh-glasnykh/,1,mumintroll,111 112 117 152 390 391,,,,
отпадение конечных гласных: ∼ ~ согласных,otpadenie-konechnykh-glasnykh-soglasnykh,https://gasyoun.github.io/BookIndex/subject/list/item/subject/otpadenie-konechnykh-glasnykh-soglasnykh/,1,mumintroll,111 112 117 118 152 329,,,,
оттяжка ударения,ottyazhka-udareniya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/ottyazhka-udareniya/,1,mumintroll,377 378,,,,
ошибка писца,oshibka-pistsa,https://gasyoun.github.io/BookIndex/subject/list/item/subject/oshibka-pistsa/,1,mumintroll,283 285,,,,
палатализация,palatalizatsiya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/palatalizatsiya/,,mumintroll,368,,,,
перфект,perfekt,https://gasyoun.github.io/BookIndex/subject/list/item/subject/perfekt/,1,mumintroll,213 215 216 217 221 230,,,,
письменная традиция,pismennaya-traditsiya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismennaya-traditsiya/,1,mumintroll,64 71 94 96 106 133,,,,
письменность,pismennost,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismennost/,1,mumintroll,90 93 94 95 96 97 102 117 119 120 168 169,,,,
письменность: ∼ древнеперсидская,pismennost-drevnepersidskaya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismennost-drevnepersidskaya/,,mumintroll,120,,,,
письменность: ∼ египетская,pismennost-egipetskaya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismennost-egipetskaya/,,mumintroll,120,,,,
письмо [= графическая система],pismo-graficheskaya-sistema,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismo-graficheskaya-sistema/,1,mumintroll,120 122 142 143 145 228,,,,
письмо [= графическая система]: ∼ бытовое vs. книжное,pismo-graficheskaya-sistema-bytovoe-vs-knizhnoe,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pismo-graficheskaya-sistema-bytovoe-vs-knizhnoe/,1,mumintroll,277 278 282 292 293 300,,,,
полигенез,poligenez,https://gasyoun.github.io/BookIndex/subject/list/item/subject/poligenez/,,mumintroll,77,,,,
полногласие,polnoglasie,https://gasyoun.github.io/BookIndex/subject/list/item/subject/polnoglasie/,,mumintroll,193,,,,
порода [в арабской грамматике],poroda-v-arabskoi-grammatike,https://gasyoun.github.io/BookIndex/subject/list/item/subject/poroda-v-arabskoi-grammatike/,1,mumintroll,217 218,,,,
порядок слов,poryadok-slov,https://gasyoun.github.io/BookIndex/subject/list/item/subject/poryadok-slov/,1,mumintroll,14 17 18 20 28 170 171,,,,
правило [языковое],pravilo-yazykovoe,https://gasyoun.github.io/BookIndex/subject/list/item/subject/pravilo-yazykovoe/,1,mumintroll,30 31 41 43 44 73 74 127 165 175 224 240 243 245,,,,
"разговорный язык, разговорная речь",razgovornyi-yazyk-razgovornaya-rech,https://gasyoun.github.io/BookIndex/subject/list/item/subject/razgovornyi-yazyk-razgovornaya-rech/,1,mumintroll,25 26 29 30 49 71 73 74 92 93 104 105 106 110 120 140 141 171 181 193 194 195 196 211 220 252 253,,,,
реконструкция [метод исторической лингвистики],rekonstruktsiya-metod-istoricheskoi-lingvistiki,https://gasyoun.github.io/BookIndex/subject/list/item/subject/rekonstruktsiya-metod-istoricheskoi-lingvistiki/,1,mumintroll,102 111 113 123 124,,,,
"реконструкция [метод исторической лингвистики]: ∼ внутренняя, см. метод внутренней реконструкции Ригведа",rekonstruktsiya-metod-istoricheskoi-lingvistiki-vnutrennyaya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/rekonstruktsiya-metod-istoricheskoi-lingvistiki-vnutrennyaya/,,mumintroll,140,,,,
родословное (генеалогическое) древо [языков],rodoslovnoe-genealogicheskoe-drevo-yazykov,https://gasyoun.github.io/BookIndex/subject/list/item/subject/rodoslovnoe-genealogicheskoe-drevo-yazykov/,1,mumintroll,75 76 106 107 179 180,,,,
сдвиг [ударения],sdvig-udareniya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/sdvig-udareniya/,1,mumintroll,370 371 383 385,,,,
сдвиг [ударения]: ∼ влево,sdvig-udareniya-vlevo,https://gasyoun.github.io/BookIndex/subject/list/item/subject/sdvig-udareniya-vlevo/,1,mumintroll,371 372 377 381 382 383,,,,
сдвиг [ударения]: ∼ вправо,sdvig-udareniya-vpravo,https://gasyoun.github.io/BookIndex/subject/list/item/subject/sdvig-udareniya-vpravo/,1,mumintroll,67 106 107 110 119 136 145 158 173 332 333 334 335 336 367 368 369 372 373 379 380 381 382 383 384 389,,,,
тактовая группа,taktovaya-gruppa,https://gasyoun.github.io/BookIndex/subject/list/item/subject/taktovaya-gruppa/,1,mumintroll,16 21 219 220,,,,
ударение,udarenie,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie/,1,mumintroll,15 16 37 68 69 74 100 338 340,,,,
ударение: ∼ в арабском языке,udarenie-v-arabskom-yazyke,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-v-arabskom-yazyke/,1,mumintroll,223 231 233,,,,
ударение: ∼ в древнерусском языке,udarenie-v-drevnerusskom-yazyke,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-v-drevnerusskom-yazyke/,1,mumintroll,240 249 252 330,,,,
ударение: ∼ в русском языке,udarenie-v-russkom-yazyke,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-v-russkom-yazyke/,1,mumintroll,236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 360 361 362 363 364 365 366 367 368 369 370 371 372 373 374 375 376 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391,,,,
ударение: ∼ в санскрите,udarenie-v-sanskrite,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-v-sanskrite/,,mumintroll,172,,,,
ударение: ∼ восходящее,udarenie-voskhodyashchee,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-voskhodyashchee/,,mumintroll,256,,,,
ударение: ∼ второстепенное,udarenie-vtorostepennoe,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-vtorostepennoe/,,mumintroll,271,,,,
ударение: ∼ нисходящее,udarenie-niskhodyashchee,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-niskhodyashchee/,,mumintroll,256,,,,
ударение: ∼ свободное (разноместное),udarenie-svobodnoe-raznomestnoe,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarenie-svobodnoe-raznomestnoe/,,mumintroll,172,,,,
ударная vs. безударная форма местоимений,udarnaya-vs-bezudarnaya-forma-mestoimenii,https://gasyoun.github.io/BookIndex/subject/list/item/subject/udarnaya-vs-bezudarnaya-forma-mestoimenii/,1,mumintroll,37 38,,,,
фестский диск,festskii-disk,https://gasyoun.github.io/BookIndex/subject/list/item/subject/festskii-disk/,,mumintroll,122,,,,
фонетические изменения,foneticheskie-izmeneniya,https://gasyoun.github.io/BookIndex/subject/list/item/subject/foneticheskie-izmeneniya/,1,mumintroll,71 72 82 83 84 100 116 117 327 329 363 364 365 366 367 375,,,,
фонетические изменения: ∼ всеобщие vs. частные,foneticheskie-izmeneniya-vseobshchie-vs-chastnye,https://gasyoun.github.io/BookIndex/subject/list/item/subject/foneticheskie-izmeneniya-vseobshchie-vs-chastnye/,1,mumintroll,366 367 372 374,,,,
фонетическое слово,foneticheskoe-slovo,https://gasyoun.github.io/BookIndex/subject/list/item/subject/foneticheskoe-slovo/,,mumintroll,16,,,,
фразовая энклитика,frazovaya-enklitika,https://gasyoun.github.io/BookIndex/subject/list/item/subject/frazovaya-enklitika/,1,mumintroll,19 21,,,,
церковнославянизмы,tserkovnoslavyanizmy,https://gasyoun.github.io/BookIndex/subject/list/item/subject/tserkovnoslavyanizmy/,,mumintroll,194,,,,
цифры,tsifry,https://gasyoun.github.io/BookIndex/subject/list/item/subject/tsifry/,1,mumintroll,168 169,,,,
цоканье,tsokane,https://gasyoun.github.io/BookIndex/subject/list/item/subject/tsokane/,1,mumintroll,294 297 300,,,,
чудовский Новый завет,chudovskii-novyi-zavet,https://gasyoun.github.io/BookIndex/subject/list/item/subject/chudovskii-novyi-zavet/,,mumintroll,391,,,,
чужая речь,chuzhaya-rech,https://gasyoun.github.io/BookIndex/subject/list/item/subject/chuzhaya-rech/,1,mumintroll,23 24,,,,
"эмфаза, экспрессивность",emfaza-ekspressivnost,https://gasyoun.github.io/BookIndex/subject/list/item/subject/emfaza-ekspressivnost/,,mumintroll,38,,,,
энклитики,enklitiki,https://gasyoun.github.io/BookIndex/subject/list/item/subject/enklitiki/,1,mumintroll,14 16 19 20 21 22 25 30 33 37 40 41 49,,,,
энклитики: ∼ локальные,enklitiki-lokalnye,https://gasyoun.github.io/BookIndex/subject/list/item/subject/enklitiki-lokalnye/,1,mumintroll,19 21 26,,,,
энклитики: ∼ фразовые,enklitiki-frazovye,https://gasyoun.github.io/BookIndex/subject/list/item/subject/enklitiki-frazovye/,1,mumintroll,19 21 26,,,,
