head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
австралийские,avstraliiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/avstraliiskie/,,mumintroll,130,,,,
албанский,albanskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/albanskii/,,mumintroll,131,,,,
английский,angliiskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/angliiskii/,1,mumintroll,17 20 26 50 65 76 80 82 84 89 90 94 107 115 118 120 128 130 139 140 151 152 154 155 160 170 172 173 180 183 184 191 203 207 214 232 242 243 247 329 331 340 348 374,,,,
Английский язык,angliiskii-yazyk,https://gasyoun.github.io/BookIndex/languages/list/item/languages/angliiskii-yazyk/,,mumintroll,,,,,
арабский,arabskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/arabskii/,1,mumintroll,4 5 65 86 150 168 169 174 185 187 192 210 211 213 214 217 219 220 221 224 226 228 230 232 234 315,,,,
арабско-персидский [слово],arabsko-persidskii-slovo,https://gasyoun.github.io/BookIndex/languages/list/item/languages/arabsko-persidskii-slovo/,,mumintroll,189,,,,
арамейский,arameiskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/arameiskii/,,mumintroll,168,,,,
армянский,armyanskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/armyanskii/,1,mumintroll,52 54 178,,,,
архангельский говор,arkhangelskii-govor,https://gasyoun.github.io/BookIndex/languages/list/item/languages/arkhangelskii-govor/,,mumintroll,196,,,,
балтийские,baltiiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/baltiiskie/,1,mumintroll,56 180,,,,
балто-славянские,balto-slavyanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/balto-slavyanskie/,,mumintroll,180,,,,
баскский*,baskskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/baskskii/,,mumintroll,135,,,,
башкирский,bashkirskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/bashkirskii/,,mumintroll,186,,,,
белорусский,belorusskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/belorusskii/,1,mumintroll,107 147 177 179 180 196 198 204 206 373 374,,,,
библейский,bibleiskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/bibleiskii/,,mumintroll,129,,,,
болгарский,bolgarskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/bolgarskii/,1,mumintroll,39 76 107 110 123 147 180 257,,,,
варягов язык,varyagov-yazyk,https://gasyoun.github.io/BookIndex/languages/list/item/languages/varyagov-yazyk/,,mumintroll,57,,,,
вологодские говоры,vologodskie-govory,https://gasyoun.github.io/BookIndex/languages/list/item/languages/vologodskie-govory/,,mumintroll,196,,,,
восточнославянские,vostochnoslavyanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/vostochnoslavyanskie/,1,mumintroll,125 179 180 196,,,,
восточные,vostochnye,https://gasyoun.github.io/BookIndex/languages/list/item/languages/vostochnye/,1,mumintroll,5 186 187 242,,,,
галльско-романские,gallsko-romanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/gallsko-romanskie/,1,mumintroll,115 116 126,,,,
германские,germanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/germanskie/,1,mumintroll,56 57 59 60 73 74 180 184 187 189 246 334 340 349,,,,
голландский,gollandskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/gollandskii/,1,mumintroll,184 190 246 331 366,,,,
готский,gotskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/gotskii/,,mumintroll,184,,,,
греческий,grecheskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/grecheskii/,1,mumintroll,15 16 21 23 74 77 120 121 122 131 135 136 153 160 168 178 180 185 186 210 226 283 352 391,,,,
грузинский,gruzinskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/gruzinskii/,,mumintroll,168,,,,
датский,datskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/datskii/,1,mumintroll,72 76 180,,,,
дравидские,dravidskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/dravidskie/,,mumintroll,174,,,,
древнеанглийский,drevneangliiskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneangliiskii/,1,mumintroll,94 95 118 207 334 340,,,,
древнеарабский,drevnearabskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnearabskii/,,mumintroll,227,,,,
древнеболгарский,drevnebolgarskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnebolgarskii/,,mumintroll,192,,,,
древневерхненемецкий,drevneverkhnenemetskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneverkhnenemetskii/,,mumintroll,340,,,,
древнегерманские,drevnegermanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnegermanskie/,1,mumintroll,141 184 185,,,,
древнегреческий,drevnegrecheskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnegrecheskii/,1,mumintroll,111 136 180,,,,
древнеегипетский,drevneegipetskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneegipetskii/,1,mumintroll,86 91,,,,
древнеиндийские,drevneindiiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneindiiskie/,1,mumintroll,112 133 145 172 173,,,,
древненовгородский диалект,drevnenovgorodskii-dialekt,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnenovgorodskii-dialekt/,1,mumintroll,197 199 320,,,,
древнеперсидский,drevnepersidskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnepersidskii/,,mumintroll,120,,,,
древнепрусский,drevneprusskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneprusskii/,,mumintroll,180,,,,
древнерусский,drevnerusskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevnerusskii/,1,mumintroll,9 17 18 22 23 26 29 32 34 36 38 41 44 47 49 79 87 94 95 114 137 147 148 196 200 240 241 249 250 278 279 283 286 296 300 301 305 312 319 330 331 335 337 338 346 351 391,,,,
древнескандинавские,drevneskandinavskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneskandinavskie/,,mumintroll,178,,,,
древнеукраинский,drevneukrainskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/drevneukrainskii/,,mumintroll,137,,,,
европейские,evropeiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/evropeiskie/,1,mumintroll,57 80 131 135 136 141 147 152 153 160 167 210 211 213 215 219 221 226,,,,
египетский,egipetskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/egipetskii/,1,mumintroll,86 91 120 121 185,,,,
западногерманские,zapadnogermanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnogermanskie/,,mumintroll,349,,,,
западноевропейские,zapadnoevropeiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnoevropeiskie/,1,mumintroll,147 220,,,,
западнороманские,zapadnoromanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnoromanskie/,,mumintroll,115,,,,
западнорусский,zapadnorusskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnorusskii/,,mumintroll,206,,,,
западнославянские,zapadnoslavyanskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnoslavyanskie/,1,mumintroll,125 180 199 200,,,,
западные языки,zapadnye-yazyki,https://gasyoun.github.io/BookIndex/languages/list/item/languages/zapadnye-yazyki/,1,mumintroll,180 189,,,,
иврит,ivrit,https://gasyoun.github.io/BookIndex/languages/list/item/languages/ivrit/,,mumintroll,129,,,,
индийские,indiiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/indiiskie/,1,mumintroll,133 135 141 142 145 165 168 173 180,,,,
индоевропейские,indoevropeiskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/indoevropeiskie/,1,mumintroll,21 37 58 111 112 113 135 137 139 152 160 168 172 174 175 180 258 346 349 350,,,,
индоиранские,indoiranskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/indoiranskie/,,mumintroll,135,,,,
иранские,iranskie,https://gasyoun.github.io/BookIndex/languages/list/item/languages/iranskie/,1,mumintroll,141 180 189,,,,
исландский,islandskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/islandskii/,1,mumintroll,65 76 180 182,,,,
испанский,ispanskii,https://gasyoun.github.io/BookIndex/languages/list/item/languages/ispanskii/,1,mumintroll,64 80 115 129 180 191,,,,
Испанский язык,ispanskii-yazyk,https://gasyoun.github.io/BookIndex/languages/list/item/languages/ispanskii-yazyk/,,mumintroll,,,,,
