head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
Англия,angliya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/angliya/,,mumintroll,82,Q21,142995804,4014770-8,6269131
Апеннинский полуостров,apenninskii-poluostrov,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/apenninskii-poluostrov/,,mumintroll,192,Q145694,,,
арабские страны,arabskie-strany,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/arabskie-strany/,1,mumintroll,192 210 211 222 223,,,,
Архангельская область,arkhangelskaya-oblast,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/arkhangelskaya-oblast/,,mumintroll,199,,,,
Африка,afrika,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/afrika/,1,mumintroll,210,Q15,127043766,4000695-5,6255146
Бавария,bavariya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/bavariya/,,mumintroll,60,,,,
Балканы,balkany,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/balkany/,,mumintroll,184,Q20870818,,,
Балтийское море,baltiiskoe-more,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/baltiiskoe-more/,,mumintroll,61,Q545,316431537,4044107-6,2633321
Белоруссия,belorussiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/belorussiya/,1,mumintroll,57 196 200 201 204 206,,,,
Бенарес,benares,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/benares/,,mumintroll,124,,,,
Бремен,bremen,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/bremen/,,mumintroll,61,Q24879,137159715,4008135-7,2944388
Британия,britaniya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/britaniya/,,mumintroll,82,Q185103,,4069666-2,8378485
Британские острова,britanskie-ostrova,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/britanskie-ostrova/,,mumintroll,60,Q38272,237264765,4090131-2,2654669
Бхарат,bkharat,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/bkharat/,,mumintroll,141,,,,
Варанаси,varanasi,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/varanasi/,,mumintroll,124,Q79980,168498951,4062337-3,1253405
Великороссия,velikorossiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/velikorossiya/,1,mumintroll,199 200,,,,
Венгрия,vengriya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/vengriya/,1,mumintroll,27 135,Q28,128544491,4078541-5,719819
Венеция,venetsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/venetsiya/,,mumintroll,181,Q641,8456155769103127880005,4062501-1,6542284
Византия,vizantiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/vizantiya/,,mumintroll,391,Q12544,144245245,4009256-2,
Владимир,vladimir,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/vladimir/,,mumintroll,200,Q2684,139562941,4108478-0,473247
Вятская губерния,vyatskaya-guberniya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/vyatskaya-guberniya/,,mumintroll,199,Q1540335,,,
Галич,galich,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/galich/,,mumintroll,27,Q146450,138404920,,709034
Галлия,galliya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/galliya/,1,mumintroll,56 126,Q38060,242520115,4019150-3,
