head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
Гастингс,gastings,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/gastings/,,mumintroll,82,Q29245,136080566,4023626-2,2647356
ГДР,gdr,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/gdr/,,mumintroll,61,Q16957,125035363,4011890-3,8354410
Германия,germaniya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/germaniya/,1,mumintroll,12 56 59 60,Q183,135446758,4011882-4,2921044
Голландия,gollandiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/gollandiya/,,mumintroll,190,Q102911,,4133959-9,
Греция,gretsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/gretsiya/,1,mumintroll,77 120,Q41,131265011,4022047-3,390903
Грецколань,gretskolan,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/gretskolan/,,mumintroll,,,,,
Европа,evropa,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/evropa/,1,mumintroll,58 81 84 135 136 139 142 147 152 180 211,Q46,170298814,4015701-5,6255148
Египет,egipet,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/egipet/,1,mumintroll,81 86 192 222 223,Q79,242059233,4000556-2,357994
западный мир,zapadnyi-mir,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/zapadnyi-mir/,,mumintroll,189,,,,
Индия,indiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/indiya/,1,mumintroll,6 112 133 134 135 136 138 139 140 142 144 146 152 153 155 156 158 160 162 167 172 173 174 180 192 203,Q668,135375457,4026722-2,1269750
Индостан,indostan,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/indostan/,1,mumintroll,133 152,Q853968,,,
Ирак,irak,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/irak/,,mumintroll,192,Q796,8055148947783454950004,4072920-5,99237
Иран,iran,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/iran/,1,mumintroll,135 139,Q794,149669363,4027653-3,130758
Исландия,islandiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/islandiya/,1,mumintroll,65 182,Q189,133608068,4027754-9,2629691
Испания,ispaniya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/ispaniya/,,mumintroll,184,Q29,133609710,4055964-6,2510769
Италия,italiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/italiya/,1,mumintroll,181 184 192 300,Q38,152361066,4027833-5,3175395
Кавказ,kavkaz,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kavkaz/,1,mumintroll,135,Q18869,255510449,,615318
Киев,kiev,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kiev/,1,mumintroll,57 179 199,Q1899,150028026,4030522-3,703448
киевская земля,kievskaya-zemlya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kievskaya-zemlya/,,mumintroll,200,,,,
Киевская область,kievskaya-oblast,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kievskaya-oblast/,,mumintroll,57,Q170036,,4506824-0,703446
киевско-черниговская зона,kievsko-chernigovskaya-zona,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kievsko-chernigovskaya-zona/,,mumintroll,202,,,,
Кировская область,kirovskaya-oblast,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kirovskaya-oblast/,,mumintroll,199,,,,
Китай,kitai,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kitai/,,mumintroll,142,Q148,132441531,4009937-4,1814991
Кольский полуостров,kolskii-poluostrov,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kolskii-poluostrov/,,mumintroll,199,Q165608,234164748,4098030-3,546085
Кордова,kordova,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kordova/,,mumintroll,,Q5818,137098626,4010558-1,6357216
Крит,krit,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/krit/,1,mumintroll,121 122,Q34374,237254468,4073791-3,258763
критские города,kritskie-goroda,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/kritskie-goroda/,,mumintroll,121,,,,
Крым,krym,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/krym/,,mumintroll,184,,,,
Литва,litva,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/litva/,1,mumintroll,200,Q37,125422022,4074266-0,597427
Литовское княжество Великое,litovskoe-knyazhestvo-velikoe,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/litovskoe-knyazhestvo-velikoe/,1,mumintroll,200 206,,,,
Малая Азия,malaya-aziya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/malaya-aziya/,1,mumintroll,122,Q12824780,,,
Марокко,marokko,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/marokko/,1,mumintroll,132 192,Q1028,140638492,4037680-1,2542007
Новгород,novgorod,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/novgorod/,1,mumintroll,28 57 96 179 196 198 199 208 209 236 279 294 301 306 312 314 316 319,,,,
Падуя,paduya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/paduya/,,mumintroll,247,Q617,137588063,4044295-0,6542281
Пакистан,pakistan,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pakistan/,,mumintroll,141,Q843,268930849,4075812-6,1168579
Палестина,palestina,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/palestina/,1,mumintroll,121,Q23792,138926424,4044381-4,12047392
Пелопоннес,peloponnes,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/peloponnes/,,mumintroll,122,Q78967,234133404,4045064-8,9062330
Переяславль,pereyaslavl,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pereyaslavl/,,mumintroll,57,,,,
Переяславская область,pereyaslavskaya-oblast,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pereyaslavskaya-oblast/,,mumintroll,57,,,,
Пилос,pilos,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pilos/,,mumintroll,122,Q7263152,137309960,4103392-9,255293
Пруссия,prussiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/prussiya/,1,mumintroll,56 57,Q38872,137143200,4047194-9,
Псков,pskov,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pskov/,1,mumintroll,198 208,Q2214,136053884,4046355-2,504341
псковская зона,pskovskaya-zona,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/pskovskaya-zona/,,mumintroll,209,,,,
Рим,rim,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rim/,,mumintroll,248,Q220,251380480,4050471-2,3169070
Римская империя,rimskaya-imperiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rimskaya-imperiya/,1,mumintroll,60 134,Q2277,28145424500486830493,,8354456
Римский мир,rimskii-mir,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rimskii-mir/,1,mumintroll,115 272,,,,
Российская Федерация,rossiiskaya-federatsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rossiiskaya-federatsiya/,,mumintroll,201,,,,
Россия,rossiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rossiya/,1,mumintroll,57 80 135 246 328,Q159,140306806,4076899-5,2017370
Ростов,rostov,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rostov/,1,mumintroll,152 199 200 392,Q4398444,,,
ростово-суздальская земля,rostovo-suzdalskaya-zemlya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rostovo-suzdalskaya-zemlya/,,mumintroll,201,,,,
ростовско-суздальско- рязанская языковая зона,rostovsko-suzdalsko-ryazanskaya-yazykovaya-zona,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rostovsko-suzdalsko-ryazanskaya-yazykovaya-zona/,,mumintroll,202,,,,
Русколань,ruskolan,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/ruskolan/,,mumintroll,,,,,
русские края,russkie-kraya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/russkie-kraya/,,mumintroll,186,,,,
Русь [древняя],rus-drevnyaya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/rus-drevnyaya/,1,mumintroll,8 57 96 178 196 197 199 279,,,,
север [Руси],sever-rusi,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/sever-rusi/,,mumintroll,200,,,,
Северный Урал,severnyi-ural,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/severnyi-ural/,,mumintroll,200,,,,
северо-запад [Руси],severo-zapad-rusi,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/severo-zapad-rusi/,1,mumintroll,199 200 202 203,,,,
Синдху,sindkhu,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/sindkhu/,,mumintroll,141,,,,
Средняя Азия,srednyaya-aziya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/srednyaya-aziya/,,mumintroll,186,Q1211919,,,
Суздаль,suzdal,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/suzdal/,1,mumintroll,199 200 313,Q15757,141915943,4078090-9,485824
Украина,ukraina,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/ukraina/,1,mumintroll,57 179 184 196 200 201 203 206,Q212,134334037,4061496-7,690791
Фессалоники (Салоники),fessaloniki-saloniki,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/fessaloniki-saloniki/,,mumintroll,,,,,
Фест,fest,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/fest/,,mumintroll,122,Q249707,315170181,4196656-9,262531
Финляндия,finlyandiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/finlyandiya/,1,mumintroll,135,Q33,132440532,4017243-0,660013
Флоренция,florentsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/florentsiya/,,mumintroll,192,Q2044,152981965,4017581-9,6542285
Франкфурт,frankfurt,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/frankfurt/,,mumintroll,56,Q286577,139024269,,
Франция,frantsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/frantsiya/,1,mumintroll,56 57 68 115 184,Q142,264091107,4018145-5,3017382
Цейлон,tseilon,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/tseilon/,,mumintroll,174,Q2670092,137707668,19826-2,
Центральная Африка,tsentralnaya-afrika,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/tsentralnaya-afrika/,,mumintroll,89,Q27433,,4079485-4,7729886
Центральная часть [Руси],tsentralnaya-chast-rusi,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/tsentralnaya-chast-rusi/,,mumintroll,199,,,,
Чернигов,chernigov,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/chernigov/,1,mumintroll,57 179,Q157053,235578017,4245594-7,710735
Швеция,shvetsiya,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/shvetsiya/,1,mumintroll,58 248 269,Q34,159364209,4077258-5,2661886
Шлиссельбург,shlisselburg,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/shlisselburg/,,mumintroll,269,Q15339,135017066,4287460-9,493970
Шри-Ланка,shri-lanka,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/shri-lanka/,,mumintroll,173,Q854,126600002,4009696-8,1227603
Южный Переславль,yuzhnyi-pereslavl,https://gasyoun.github.io/BookIndex/toponyms/list/item/toponyms/yuzhnyi-pereslavl/,,mumintroll,179,,,,
