head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
Иванов Вяч. Вс.,ivanov-vyach-vs,https://gasyoun.github.io/BookIndex/names/list/item/names/ivanov-vyach-vs/,,zametki,53 71 99 101 107 113 115 119 141 201,Q794031,108365230,119005964,
Изяслав,izyaslav,https://gasyoun.github.io/BookIndex/names/list/item/names/izyaslav/,,zametki,89 113,,,,
Изяслав Давыдович,izyaslav-davydovich,https://gasyoun.github.io/BookIndex/names/list/item/names/izyaslav-davydovich/,,zametki,113,,,,
Иисус Христос,iisus-khristos,https://gasyoun.github.io/BookIndex/names/list/item/names/iisus-khristos/,,zametki,69 141 145 157 165,,,,
Иллич-Свитыч В. М.,illich-svitych-v-m,https://gasyoun.github.io/BookIndex/names/list/item/names/illich-svitych-v-m/,,mumintroll,246,,,,
Иоанн Креститель,ioann-krestitel,https://gasyoun.github.io/BookIndex/names/list/item/names/ioann-krestitel/,,zametki,71 113 141,,,,
Иткин А. И.,itkin-a-i,https://gasyoun.github.io/BookIndex/names/list/item/names/itkin-a-i/,1,mumintroll,290 339 340 343 347 349 353 356 358,,,,
Иткин И. Б.,itkin-i-b,https://gasyoun.github.io/BookIndex/names/list/item/names/itkin-i-b/,1,mumintroll,4 12 41 48 49 76 89 90 119 124 126 128 132 161 218 222 225 226 230 234 273 290 291 297 299 301 342 346 356 358 360 377,Q4205292,,,
Калидаса,kalidasa,https://gasyoun.github.io/BookIndex/names/list/item/names/kalidasa/,,mumintroll,173,,,,
Карамзин Н. М.,karamzin-n-m,https://gasyoun.github.io/BookIndex/names/list/item/names/karamzin-n-m/,,mumintroll,334,,,,
Карл Великий,karl-velikii,https://gasyoun.github.io/BookIndex/names/list/item/names/karl-velikii/,,mumintroll,83,,,,
Катулл,katull,https://gasyoun.github.io/BookIndex/names/list/item/names/katull/,,zametki,103,,,,
Кислов М. Н.,kislov-m-n,https://gasyoun.github.io/BookIndex/names/list/item/names/kislov-m-n/,,mumintroll,13,,,,
Козлов Л.,kozlov-l,https://gasyoun.github.io/BookIndex/names/list/item/names/kozlov-l/,,mumintroll,100,Q18121462,38602925,1062520173,
Козлов С. Л.,kozlov-s-l,https://gasyoun.github.io/BookIndex/names/list/item/names/kozlov-s-l/,1,mumintroll,45 47,,,,
Кокорева А. Б.,kokoreva-a-b,https://gasyoun.github.io/BookIndex/names/list/item/names/kokoreva-a-b/,,mumintroll,208,,,,
Колмогоров А. Н.,kolmogorov-a-n,https://gasyoun.github.io/BookIndex/names/list/item/names/kolmogorov-a-n/,,zametki,123,Q153224,36980195,119056399,
Кочергина В. А.,kochergina-v-a,https://gasyoun.github.io/BookIndex/names/list/item/names/kochergina-v-a/,,zametki,205,,,,
Красильников Ю. Д.,krasilnikov-yu-d,https://gasyoun.github.io/BookIndex/names/list/item/names/krasilnikov-yu-d/,,zametki,59 205,,,,
Кручёных А. Е.,kruchenykh-a-e,https://gasyoun.github.io/BookIndex/names/list/item/names/kruchenykh-a-e/,,mumintroll,376,Q721962,71393129,118567306,
Лебедев И.,lebedev-i,https://gasyoun.github.io/BookIndex/names/list/item/names/lebedev-i/,,mumintroll,86,,,,
Лебедева Е. И.,lebedeva-e-i,https://gasyoun.github.io/BookIndex/names/list/item/names/lebedeva-e-i/,1,mumintroll,78 175 209 321,,,,
Левонтина И. Б.,levontina-i-b,https://gasyoun.github.io/BookIndex/names/list/item/names/levontina-i-b/,,mumintroll,333,Q28498789,49152079,138051747,
Лотман Ю. М.,lotman-yu-m,https://gasyoun.github.io/BookIndex/names/list/item/names/lotman-yu-m/,,zametki,59,,,,
Луховицкий В. В.,lukhovitskii-v-v,https://gasyoun.github.io/BookIndex/names/list/item/names/lukhovitskii-v-v/,,mumintroll,78,,,,
Мамай,mamai,https://gasyoun.github.io/BookIndex/names/list/item/names/mamai/,,zametki,75,,,,
Мария Богородица,mariya-bogoroditsa,https://gasyoun.github.io/BookIndex/names/list/item/names/mariya-bogoroditsa/,,zametki,141,,,,
Мартынов И. И.,martynov-i-i,https://gasyoun.github.io/BookIndex/names/list/item/names/martynov-i-i/,,mumintroll,274,Q2412021,179372210,1253778108,
Марциал,martsial,https://gasyoun.github.io/BookIndex/names/list/item/names/martsial/,,zametki,103 205,,,,
Маяковский В. В.,mayakovskii-v-v,https://gasyoun.github.io/BookIndex/names/list/item/names/mayakovskii-v-v/,,zametki,33,Q132964,24611716,118640801,
Мейе А.,meie-a,https://gasyoun.github.io/BookIndex/names/list/item/names/meie-a/,,mumintroll,11,Q347001,27068538,118782878,
Менделеев Д. Н.,mendeleev-d-n,https://gasyoun.github.io/BookIndex/names/list/item/names/mendeleev-d-n/,,zametki,151,,,,
Милославский Е.,miloslavskii-e,https://gasyoun.github.io/BookIndex/names/list/item/names/miloslavskii-e/,,mumintroll,76,,,,
Михаил Тверской,mikhail-tverskoi,https://gasyoun.github.io/BookIndex/names/list/item/names/mikhail-tverskoi/,,mumintroll,312,,,,
Михаил Юрьевич,mikhail-yurevich,https://gasyoun.github.io/BookIndex/names/list/item/names/mikhail-yurevich/,,zametki,101,,,,
Морозов Н. А.,morozov-n-a,https://gasyoun.github.io/BookIndex/names/list/item/names/morozov-n-a/,,zametki,51 57 77 87 105,,,,
Морозова Г. П.,morozova-g-p,https://gasyoun.github.io/BookIndex/names/list/item/names/morozova-g-p/,1,mumintroll,43 45 116,,,,
Нестор Летописец Печерский Киевский,nestor-letopisets-pecherskii-kievskii,https://gasyoun.github.io/BookIndex/names/list/item/names/nestor-letopisets-pecherskii-kievskii/,,mumintroll,47,,,,
Николаев С. Л.,nikolaev-s-l,https://gasyoun.github.io/BookIndex/names/list/item/names/nikolaev-s-l/,,zametki,123,,,,
Николаева T. М.,nikolaeva-t-m,https://gasyoun.github.io/BookIndex/names/list/item/names/nikolaeva-t-m/,,zametki,123,,,,
Николов B.,nikolov-b,https://gasyoun.github.io/BookIndex/names/list/item/names/nikolov-b/,,zametki,123,,,,
Носков А.,noskov-a,https://gasyoun.github.io/BookIndex/names/list/item/names/noskov-a/,,mumintroll,286,,,,
Носов Е. Н.,nosov-e-n,https://gasyoun.github.io/BookIndex/names/list/item/names/nosov-e-n/,,zametki,39 51 53 123 137 181 205,,,,
Носовский Г. В.,nosovskii-g-v,https://gasyoun.github.io/BookIndex/names/list/item/names/nosovskii-g-v/,,zametki,51 53 123 137 181 205,,,,
О. В. Творогов,o-v-tvorogov,https://gasyoun.github.io/BookIndex/names/list/item/names/o-v-tvorogov/,,mumintroll,,,,,
Падучева Е. В.,paducheva-e-v,https://gasyoun.github.io/BookIndex/names/list/item/names/paducheva-e-v/,1,mumintroll,89 387,Q4342113,30982677,143007602,
Переверзева С. И.,pereverzeva-s-i,https://gasyoun.github.io/BookIndex/names/list/item/names/pereverzeva-s-i/,,mumintroll,173,,,,
Перцов Н. В.,pertsov-n-v,https://gasyoun.github.io/BookIndex/names/list/item/names/pertsov-n-v/,1,mumintroll,273 347 371,,,,
Пётр I,petr-i,https://gasyoun.github.io/BookIndex/names/list/item/names/petr-i/,1,mumintroll,23 190 361,,,,
Пилецкий Я.,piletskii-ya,https://gasyoun.github.io/BookIndex/names/list/item/names/piletskii-ya/,,mumintroll,85,,,,
Плавт,plavt,https://gasyoun.github.io/BookIndex/names/list/item/names/plavt/,,zametki,95,,,,
Плунгян В. А.,plungyan-v-a,https://gasyoun.github.io/BookIndex/names/list/item/names/plungyan-v-a/,,mumintroll,78,Q1345187,86313013,141607475,
Плутарх,plutarkh,https://gasyoun.github.io/BookIndex/names/list/item/names/plutarkh/,,zametki,165,,,,
Поветкин В. И.,povetkin-v-i,https://gasyoun.github.io/BookIndex/names/list/item/names/povetkin-v-i/,,mumintroll,13,,,,
Постникова T. Е.,postnikova-t-e,https://gasyoun.github.io/BookIndex/names/list/item/names/postnikova-t-e/,,zametki,59,,,,
Пушкин А. С.,pushkin-a-s,https://gasyoun.github.io/BookIndex/names/list/item/names/pushkin-a-s/,1,mumintroll|zametki,81 296 389,Q7200,66477450,118641816,
Раск Р. К.,rask-r-k,https://gasyoun.github.io/BookIndex/names/list/item/names/rask-r-k/,1,mumintroll,71 73,,,,
Рем,rem,https://gasyoun.github.io/BookIndex/names/list/item/names/rem/,,zametki,141,,,,
Романовы,romanovy,https://gasyoun.github.io/BookIndex/names/list/item/names/romanovy/,,zametki,11 143 145,,,,
Ромул,romul,https://gasyoun.github.io/BookIndex/names/list/item/names/romul/,,zametki,141,,,,
Роулинсон Г.,roulinson-g,https://gasyoun.github.io/BookIndex/names/list/item/names/roulinson-g/,,mumintroll,121,Q309602,10149174,116367636,
Руссев Е. М.,russev-e-m,https://gasyoun.github.io/BookIndex/names/list/item/names/russev-e-m/,,zametki,13 15 67 69 71 81 137 155 157 165 205,,,,
Силинг Ю. М.,siling-yu-m,https://gasyoun.github.io/BookIndex/names/list/item/names/siling-yu-m/,,mumintroll,346,,,,
Сичинава Д. В.,sichinava-d-v,https://gasyoun.github.io/BookIndex/names/list/item/names/sichinava-d-v/,,mumintroll,392,,,,
Скалигер,skaliger,https://gasyoun.github.io/BookIndex/names/list/item/names/skaliger/,,zametki,87 103 107 129,,,,
Скалигер И. Ю. (= Ж. Ж.),skaliger-i-yu-zh-zh,https://gasyoun.github.io/BookIndex/names/list/item/names/skaliger-i-yu-zh-zh/,,zametki,87 103 107 129,,,,
Скопина М. А.,skopina-m-a,https://gasyoun.github.io/BookIndex/names/list/item/names/skopina-m-a/,,zametki,81,,,,
Слуцкий Б. А.,slutskii-b-a,https://gasyoun.github.io/BookIndex/names/list/item/names/slutskii-b-a/,,mumintroll,376,,,,
Смирин В. М.,smirin-v-m,https://gasyoun.github.io/BookIndex/names/list/item/names/smirin-v-m/,,zametki,57 115 205,,,,
Солженицын А. И.,solzhenitsyn-a-i,https://gasyoun.github.io/BookIndex/names/list/item/names/solzhenitsyn-a-i/,,zametki,197,Q34474,95215697,118642464,
Солженицына Н. Д.,solzhenitsyna-n-d,https://gasyoun.github.io/BookIndex/names/list/item/names/solzhenitsyna-n-d/,,zametki,197,Q4427694,166053771,13847026X,
Срезневский И. И.,sreznevskii-i-i,https://gasyoun.github.io/BookIndex/names/list/item/names/sreznevskii-i-i/,,mumintroll,296,Q2992575,46802812,118798340,
Станг Хр.,stang-khr,https://gasyoun.github.io/BookIndex/names/list/item/names/stang-khr/,,mumintroll,246,,,,
Старец С. М.,starets-s-m,https://gasyoun.github.io/BookIndex/names/list/item/names/starets-s-m/,,zametki,15 27 71 137 165 205,,,,
Старостин Г. С.,starostin-g-s,https://gasyoun.github.io/BookIndex/names/list/item/names/starostin-g-s/,,zametki,27,,,,
Старостин С. А.,starostin-s-a,https://gasyoun.github.io/BookIndex/names/list/item/names/starostin-s-a/,,zametki,27,Q705907,110115894,136040411,
Толстая М. Н.,tolstaya-m-n,https://gasyoun.github.io/BookIndex/names/list/item/names/tolstaya-m-n/,,mumintroll|zametki,205 392 2025,,,,
Толстая Р. А.,tolstaya-r-a,https://gasyoun.github.io/BookIndex/names/list/item/names/tolstaya-r-a/,,zametki,205 2025,,,,
Толстой И. В.,tolstoi-i-v,https://gasyoun.github.io/BookIndex/names/list/item/names/tolstoi-i-v/,,zametki,205 2025,,,,
Улицкая Л. Е.,ulitskaya-l-e,https://gasyoun.github.io/BookIndex/names/list/item/names/ulitskaya-l-e/,,mumintroll,77,Q266661,87220182,11558871X,
Успенский Б. А.,uspenskii-b-a,https://gasyoun.github.io/BookIndex/names/list/item/names/uspenskii-b-a/,,zametki,9,,,,
Успенский В. А.,uspenskii-v-a,https://gasyoun.github.io/BookIndex/names/list/item/names/uspenskii-v-a/,,zametki,9,,,,
Фант Г. И.,fant-g-i,https://gasyoun.github.io/BookIndex/names/list/item/names/fant-g-i/,,zametki,17 35 37 47 49 165 2025,,,,
Фасмер М.,fasmer-m,https://gasyoun.github.io/BookIndex/names/list/item/names/fasmer-m/,,zametki,11 39 41 75 205,Q77420,97150111,118767356,
Феклистова Е. Б.,feklistova-e-b,https://gasyoun.github.io/BookIndex/names/list/item/names/feklistova-e-b/,1,mumintroll,104 126 127 358 389,,,,
Феодосий Печерский,feodosii-pecherskii,https://gasyoun.github.io/BookIndex/names/list/item/names/feodosii-pecherskii/,,mumintroll,47,,,,
Фоменко А. Т.,fomenko-a-t,https://gasyoun.github.io/BookIndex/names/list/item/names/fomenko-a-t/,,mumintroll|zametki,7 9 11 13 15 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 80 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 123 125 127 129 131 133 135 137 139 141 143 145 159 165 199 205 2025,Q158465,64142515,119092689,
Фридрих И.,fridrikh-i,https://gasyoun.github.io/BookIndex/names/list/item/names/fridrikh-i/,,mumintroll,121,,,,
Фукидид,fukidid,https://gasyoun.github.io/BookIndex/names/list/item/names/fukidid/,,zametki,55 57 59 61 127 129 135 137 205 2025,,,,
Хаустов Ф.,khaustov-f,https://gasyoun.github.io/BookIndex/names/list/item/names/khaustov-f/,1,mumintroll,113 124 132,,,,
Хлебников Велимир,khlebnikov-velimir,https://gasyoun.github.io/BookIndex/names/list/item/names/khlebnikov-velimir/,,mumintroll,273,,,,
Холодова Е. Б.,kholodova-e-b,https://gasyoun.github.io/BookIndex/names/list/item/names/kholodova-e-b/,,mumintroll,42,,,,
Христос Иисус,khristos-iisus,https://gasyoun.github.io/BookIndex/names/list/item/names/khristos-iisus/,,zametki,77 141 145 165,,,,
Цезарь,tsezar,https://gasyoun.github.io/BookIndex/names/list/item/names/tsezar/,,zametki,95 179,,,,
Цицерон,tsitseron,https://gasyoun.github.io/BookIndex/names/list/item/names/tsitseron/,,zametki|mumintroll,103 248 287 291,,,,
Чедвик Дж.,chedvik-dzh,https://gasyoun.github.io/BookIndex/names/list/item/names/chedvik-dzh/,,mumintroll,121,Q51515,85160602,118888757,
Чернышева П.,chernysheva-p,https://gasyoun.github.io/BookIndex/names/list/item/names/chernysheva-p/,,mumintroll,127,,,,
Чингиз-хан,chingiz-khan,https://gasyoun.github.io/BookIndex/names/list/item/names/chingiz-khan/,,zametki,77 101 141,,,,
Шампольон Ф.,shampolon-f,https://gasyoun.github.io/BookIndex/names/list/item/names/shampolon-f/,,mumintroll,121,,,,
Щеголькова Е.,shchegolkova-e,https://gasyoun.github.io/BookIndex/names/list/item/names/shchegolkova-e/,1,mumintroll,81 89 119 203,,,,
Ю. П. Миролюбов,yu-p-mirolyubov,https://gasyoun.github.io/BookIndex/names/list/item/names/yu-p-mirolyubov/,,mumintroll,,,,,
Юлий Цезарь,yulii-tsezar,https://gasyoun.github.io/BookIndex/names/list/item/names/yulii-tsezar/,,mumintroll,69,,,,
Янин В. Л.,yanin-v-l,https://gasyoun.github.io/BookIndex/names/list/item/names/yanin-v-l/,1,mumintroll|zametki,169 277 288 306,Q1980377,45138852,120697742,
Ярослав,yaroslav,https://gasyoun.github.io/BookIndex/names/list/item/names/yaroslav/,,mumintroll,85,,,,
