head,slug,canonical_url,discussed,books,pages,wikidata,viaf,gnd,geonames
Saloni Z.,saloni-z,https://gasyoun.github.io/BookIndex/names/list/item/names/saloni-z/,,zametki,157,,,,
А. А. Алексеев,a-a-alekseev,https://gasyoun.github.io/BookIndex/names/list/item/names/a-a-alekseev/,,mumintroll,,,,,
А. А. Зализняк,a-a-zaliznyak,https://gasyoun.github.io/BookIndex/names/list/item/names/a-a-zaliznyak/,,mumintroll,,Q2371003,7453175,11926658X,
А. И. Асов,a-i-asov,https://gasyoun.github.io/BookIndex/names/list/item/names/a-i-asov/,,mumintroll,,,,,
А. И. Солженицын,a-i-solzhenitsyn,https://gasyoun.github.io/BookIndex/names/list/item/names/a-i-solzhenitsyn/,,mumintroll,,Q34474,95215697,118642464,
А. Кур (Куренков),a-kur-kurenkov,https://gasyoun.github.io/BookIndex/names/list/item/names/a-kur-kurenkov/,,mumintroll,,,,,
А. Т. Фоменко,a-t-fomenko,https://gasyoun.github.io/BookIndex/names/list/item/names/a-t-fomenko/,,mumintroll,,Q158465,64142515,119092689,
Аванесов Р. И.,avanesov-r-i,https://gasyoun.github.io/BookIndex/names/list/item/names/avanesov-r-i/,,mumintroll,259,,,,
Аввакум [Петров] (протопоп),avvakum-petrov-protopop,https://gasyoun.github.io/BookIndex/names/list/item/names/avvakum-petrov-protopop/,,mumintroll,24,,,,
Аврамов А.,avramov-a,https://gasyoun.github.io/BookIndex/names/list/item/names/avramov-a/,,mumintroll,85,,,,
Александр Македонский,aleksandr-makedonskii,https://gasyoun.github.io/BookIndex/names/list/item/names/aleksandr-makedonskii/,,mumintroll,141,,,,
Алексеевская О. А.,alekseevskaya-o-a,https://gasyoun.github.io/BookIndex/names/list/item/names/alekseevskaya-o-a/,1,mumintroll,4 13 404,,,,
Али Изенбек,ali-izenbek,https://gasyoun.github.io/BookIndex/names/list/item/names/ali-izenbek/,,mumintroll,,,,,
Ананьин Г. Г.,ananin-g-g,https://gasyoun.github.io/BookIndex/names/list/item/names/ananin-g-g/,,mumintroll,204,,,,
Андроник,andronik,https://gasyoun.github.io/BookIndex/names/list/item/names/andronik/,,zametki,141,,,,
Бажибин В.,bazhibin-v,https://gasyoun.github.io/BookIndex/names/list/item/names/bazhibin-v/,,mumintroll,267,,,,
Барулин А. Н.,barulin-a-n,https://gasyoun.github.io/BookIndex/names/list/item/names/barulin-a-n/,1,mumintroll,337 338 352 356 358 359,Q4078727,247999338,,
Батый,batyi,https://gasyoun.github.io/BookIndex/names/list/item/names/batyi/,,zametki,53 75 101 119 141 201,,,,
Белькевич М. В.,belkevich-m-v,https://gasyoun.github.io/BookIndex/names/list/item/names/belkevich-m-v/,,mumintroll,87,,,,
"Бируни, Аль",biruni-al,https://gasyoun.github.io/BookIndex/names/list/item/names/biruni-al/,,mumintroll,150,,,,
"Бируни, Аль‑",biruni-al-2,https://gasyoun.github.io/BookIndex/names/list/item/names/biruni-al-2/,,mumintroll,150,,,,
Блеген К.,blegen-k,https://gasyoun.github.io/BookIndex/names/list/item/names/blegen-k/,,mumintroll,123,Q552469,47048210,133757463,
Блок,blok,https://gasyoun.github.io/BookIndex/names/list/item/names/blok/,1,mumintroll,25 196 215,,,,
Боголюбский Андрей,bogolyubskii-andrei,https://gasyoun.github.io/BookIndex/names/list/item/names/bogolyubskii-andrei/,,zametki,113 141,,,,
Богородица Мария,bogoroditsa-mariya,https://gasyoun.github.io/BookIndex/names/list/item/names/bogoroditsa-mariya/,,zametki,141,,,,
Болотов С. Г.,bolotov-s-g,https://gasyoun.github.io/BookIndex/names/list/item/names/bolotov-s-g/,,mumintroll,381,,,,
Бопп Фр.,bopp-fr,https://gasyoun.github.io/BookIndex/names/list/item/names/bopp-fr/,,mumintroll,71,,,,
Борис,boris,https://gasyoun.github.io/BookIndex/names/list/item/names/boris/,,zametki,101 103,,,,
Борунова С. Н.,borunova-s-n,https://gasyoun.github.io/BookIndex/names/list/item/names/borunova-s-n/,,mumintroll,392,,,,
Бродский Иосиф,brodskii-iosif,https://gasyoun.github.io/BookIndex/names/list/item/names/brodskii-iosif/,,zametki,21,,,,
Брюллов К.,bryullov-k,https://gasyoun.github.io/BookIndex/names/list/item/names/bryullov-k/,,mumintroll,274,,,,
Бусбек,busbek,https://gasyoun.github.io/BookIndex/names/list/item/names/busbek/,,mumintroll,184,,,,
Бхарата,bkharata,https://gasyoun.github.io/BookIndex/names/list/item/names/bkharata/,1,mumintroll,140 141,,,,
Вакернагель Я.,vakernagel-ya,https://gasyoun.github.io/BookIndex/names/list/item/names/vakernagel-ya/,1,mumintroll,21 25 29 31 35 39 41 46,,,,
Варфоломей Юрьевич,varfolomei-yurevich,https://gasyoun.github.io/BookIndex/names/list/item/names/varfolomei-yurevich/,,zametki,101 107,,,,
Василько Теребовльский,vasilko-terebovlskii,https://gasyoun.github.io/BookIndex/names/list/item/names/vasilko-terebovlskii/,,zametki,71 99 111 113 115,,,,
Вентрис М.,ventris-m,https://gasyoun.github.io/BookIndex/names/list/item/names/ventris-m/,1,mumintroll,121 123,,,,
Вергилий,vergilii,https://gasyoun.github.io/BookIndex/names/list/item/names/vergilii/,,zametki,95 103 105,,,,
Вернер К.,verner-k,https://gasyoun.github.io/BookIndex/names/list/item/names/verner-k/,1,mumintroll,73 74 89,,,,
Виноградов В. В.,vinogradov-v-v,https://gasyoun.github.io/BookIndex/names/list/item/names/vinogradov-v-v/,1,mumintroll,274 392,,,,
Владимир,vladimir,https://gasyoun.github.io/BookIndex/names/list/item/names/vladimir/,1,mumintroll,24 200 250,,,,
Воронцова В. Л.,vorontsova-v-l,https://gasyoun.github.io/BookIndex/names/list/item/names/vorontsova-v-l/,,mumintroll,392,,,,
Вяземский П. А.,vyazemskii-p-a,https://gasyoun.github.io/BookIndex/names/list/item/names/vyazemskii-p-a/,,mumintroll,274,Q19425,88757062,118634437,
Г. В. Носовский,g-v-nosovskii,https://gasyoun.github.io/BookIndex/names/list/item/names/g-v-nosovskii/,,mumintroll,,,,,
Гаспаров М. Л.,gasparov-m-l,https://gasyoun.github.io/BookIndex/names/list/item/names/gasparov-m-l/,1,mumintroll,77 392,Q1228472,51832912,103222855,
Гасунс М. Ю.,gasuns-m-yu,https://gasyoun.github.io/BookIndex/names/list/item/names/gasuns-m-yu/,,mumintroll,392,,,,
Гиппиус А. А.,gippius-a-a,https://gasyoun.github.io/BookIndex/names/list/item/names/gippius-a-a/,1,mumintroll,279 288 301 306 315,,,,
Голубцова Е. С.,golubtsova-e-s,https://gasyoun.github.io/BookIndex/names/list/item/names/golubtsova-e-s/,,zametki,57 115 205,,,,
Гораций,goratsii,https://gasyoun.github.io/BookIndex/names/list/item/names/goratsii/,,zametki,95 103,,,,
Гофман,gofman,https://gasyoun.github.io/BookIndex/names/list/item/names/gofman/,,zametki,127 129 135 137,,,,
Гримм В. и Я. (братья),grimm-v-i-ya-bratya,https://gasyoun.github.io/BookIndex/names/list/item/names/grimm-v-i-ya-bratya/,,mumintroll,73,,,,
Гримм Я.,grimm-ya,https://gasyoun.github.io/BookIndex/names/list/item/names/grimm-ya/,1,mumintroll,73 74 89,,,,
Гутенберг И.,gutenberg-i,https://gasyoun.github.io/BookIndex/names/list/item/names/gutenberg-i/,,mumintroll,123,,,,
Гюргий Иванкович,gyurgii-ivankovich,https://gasyoun.github.io/BookIndex/names/list/item/names/gyurgii-ivankovich/,,zametki,77,,,,
Даль В. И.,dal-v-i,https://gasyoun.github.io/BookIndex/names/list/item/names/dal-v-i/,1,mumintroll,357 375,Q326499,73991311,118523430,
Данте Алигьери,dante-aligeri,https://gasyoun.github.io/BookIndex/names/list/item/names/dante-aligeri/,,mumintroll,192,,,,
Дарвин,darvin,https://gasyoun.github.io/BookIndex/names/list/item/names/darvin/,,mumintroll,,,,,
Дарвин Ч.,darvin-ch,https://gasyoun.github.io/BookIndex/names/list/item/names/darvin-ch/,,zametki,201,,,,
Дыбо В. А.,dybo-v-a,https://gasyoun.github.io/BookIndex/names/list/item/names/dybo-v-a/,,mumintroll,246,Q130117,20089987,103350160,
Ермольцев Д. А.,ermoltsev-d-a,https://gasyoun.github.io/BookIndex/names/list/item/names/ermoltsev-d-a/,,mumintroll,77,,,,
Еськова Н. А.,eskova-n-a,https://gasyoun.github.io/BookIndex/names/list/item/names/eskova-n-a/,1,mumintroll,127 259 262 377 385,,,,
Заболотская Т. В.,zabolotskaya-t-v,https://gasyoun.github.io/BookIndex/names/list/item/names/zabolotskaya-t-v/,1,mumintroll,356 389,,,,
Зализняк А. А.,zaliznyak-a-a,https://gasyoun.github.io/BookIndex/names/list/item/names/zaliznyak-a-a/,1,mumintroll|zametki|slovo,1 7 9 11 13 18 27 80 125 127 133 169 205 250 2025,Q2371003,7453175,11926658X,
Заменгоф Л.,zamengof-l,https://gasyoun.github.io/BookIndex/names/list/item/names/zamengof-l/,1,mumintroll,128 129,Q11758,73885295,118643495,
Иаков,iakov,https://gasyoun.github.io/BookIndex/names/list/item/names/iakov/,,zametki,73,,,,
Иван III,ivan-iii,https://gasyoun.github.io/BookIndex/names/list/item/names/ivan-iii/,,mumintroll|zametki,113 209,,,,
Иван IV (//Грозный),ivan-iv-groznyi,https://gasyoun.github.io/BookIndex/names/list/item/names/ivan-iv-groznyi/,1,mumintroll,209 332,,,,
Иван Грозный,ivan-groznyi,https://gasyoun.github.io/BookIndex/names/list/item/names/ivan-groznyi/,,zametki,71 101 113,,,,
Иван Данилович,ivan-danilovich,https://gasyoun.github.io/BookIndex/names/list/item/names/ivan-danilovich/,,zametki,141,,,,
Иван Калита,ivan-kalita,https://gasyoun.github.io/BookIndex/names/list/item/names/ivan-kalita/,,zametki,53 119 201,,,,
Иванко Захарьинич,ivanko-zakharinich,https://gasyoun.github.io/BookIndex/names/list/item/names/ivanko-zakharinich/,,zametki,53 71 99 101 107 113 115 119 141 201,,,,
Иванов,ivanov,https://gasyoun.github.io/BookIndex/names/list/item/names/ivanov/,,mumintroll,259,,,,
