head,type,review_tier,n_candidates,suggested_qid,suggested_label,suggested_desc,decision
арабские страны,toponyms,decide,5,Q143487,арабский мир,географический и культурный регион,
Бавария,toponyms,decide,5,Q154195,Королевство Бавария,историческое государство на территории земли Бавария в Германии,
Белоруссия,toponyms,decide,5,Q184,Беларусь,государство в Восточной Европе,
Бенарес,toponyms,decide,2,Q79980,Варанаси,"город в Индии, священное место смерти",
Бхарат,toponyms,decide,5,Q668,Индия,страна в Южной Азии,
киевская земля,toponyms,decide,1,Q1483430,Киевское княжество,русское княжество,
Крым,toponyms,decide,5,Q756294,Автономная Республика Крым,"автономная республика Украины, расположенная на бо́льшей части полуострова Крым",
Новгород,toponyms,decide,5,Q2235,Великий Новгород,"город на северо-западе России, административный центр Новгородской области и Новгородского района",
Переяславль,toponyms,decide,5,Q178188,Переславль-Залесский,город в Ярославской области России,
Российская Федерация,toponyms,decide,5,Q159,Россия,"государство в Восточной Европе и Северной Азии, крупнейшее по площади в мире",
ростово-суздальская земля,toponyms,decide,1,Q83546,Великое княжество Владимирское,"русское княжество XII—XIV веков, ставшее ядром современного Российского государства",
вологодские,ethnonyms,research,5,Q4123721,вологодское кружево,тип кружевной вышивки,
вятичи,ethnonyms,research,1,Q1520835,вятичи,восточнославянский племенной союз,
дасью,ethnonyms,research,1,Q2449727,Даса,Sanskrit language term found in ancient Hindu texts,
европейцы,ethnonyms,research,5,Q394067,европейцы,жители Европы,
кроманьонцы,ethnonyms,research,1,Q179234,кроманьонец,ранний представитель современного человека,
немецкий народ,ethnonyms,research,4,Q708567,Народный союз Германии по уходу за военными захоронениями,organisation responsible for the maintenance and upkeep of German war graves,
новгородцы,ethnonyms,research,1,Q30442824,Славный малый,советская комедия режиссёра Бориса Барнета,
ордынцы,ethnonyms,research,4,Q4336117,Ордынцы,"village in Pohrebyshche Amalgamated Hromada, Vinnytsia Raion, Vinnytsia Oblast, Ukraine",
печенеги,ethnonyms,research,5,Q181752,печенеги,союз тюркоязычных кочевых племён,
прусы,ethnonyms,research,5,Q7253178,Прусы,"village in Lesser Poland, Poland",
псковские,ethnonyms,research,5,Q4383002,Псковские летописи,,
римляне,ethnonyms,research,2,Q1651392,римляне,основное население Древнего Рима,
французский народ,ethnonyms,research,2,Q121842,французы,граждане или резиденты Франции,
Saloni Z.,names,research,5,Q112063607,,фамилия - Saloni,
Аванесов Р. И.,names,research,1,Q3918013,Рубен Аванесов,Soviet lexicographer and dialectologist (1902-1982),
Аввакум [Петров] (протопоп),names,research,5,Q2735717,Протопоп,high rank priest in the Eastern Orthodox and the Byzantine Catholic Churches,
Аврамов А.,names,research,5,Q21501990,Аврамов,фамилия (Аврамов),
Александр Македонский,names,research,5,Q8409,Александр Македонский,"македонский царь, полководец и создатель мировой державы",
Алексеевская О. А.,names,research,5,Q2721585,Алексеевская,станция Московского метрополитена,
Али Изенбек,names,research,3,Q12074059,"Изенбек, Фёдор Артурович",Russian painter (1890-1941),
Ананьин Г. Г.,names,research,5,Q4064825,Ананьин,фамилия,
Андроник,names,research,5,Q513430,Андроник,"biblical figure, Orthodox saint",
Батый,names,research,5,Q175138,Батый,"монгольский полководец и государственный деятель XIII века, завоеватель Руси, хан Золотой Орды",
Белькевич М. В.,names,research,5,Q4083247,Белькевич,family name (Белькевич),
"Бируни, Аль",names,research,3,Q11826,Абу Райхан аль-Бируни,"хорезмский учёный-энциклопедист и мыслитель, занимавшийся также астрономией и географией (973–1048)",
"Бируни, Аль‑",names,research,3,Q11826,Абу Райхан аль-Бируни,"хорезмский учёный-энциклопедист и мыслитель, занимавшийся также астрономией и географией (973–1048)",
Блок,names,research,5,Q6138528,политическая коалиция,союз нескольких политических партий,
Боголюбский Андрей,names,research,1,Q315191,Андрей Юрьевич Боголюбский,великий князь Владимирский,
Богородица Мария,names,research,5,Q345,Дева Мария,"мать Иисуса Христа, одна из самых почитаемых христианских святых",
Болотов С. Г.,names,research,5,Q762360,(7858) Болотов,астероид,
Борис,names,research,5,Q666112,Борис,мужское личное имя - Boris,
Бродский Иосиф,names,research,2,Q4096785,"Бродский, Иосиф Нусимович",Russian scientist,
Бусбек,names,research,1,Q1021939,Бусбек,коммуна во Франции,
Бхарата,names,research,5,Q1377025,Бхарата,арийский царь в индуизме и джайнизме,
Варфоломей Юрьевич,names,research,1,Q26932332,Варфоломей Юрьевич,новгородский посадник,
Василько Теребовльский,names,research,1,Q65096135,староста теребовльский,,
Вергилий,names,research,5,Q1398,Вергилий,античный римский поэт,
Виноградов В. В.,names,research,1,Q1381038,Институт русского языка имени В. В. Виноградова РАН,научное учреждение России,
Владимир,names,research,5,Q2684,Владимир,"город, центр Владимирской области России",
Воронцова В. Л.,names,research,5,Q2625468,(12191) Воронцова,астероид,
Гиппиус А. А.,names,research,5,Q64706127,Гиппиус,Baltic German noble family,
Гораций,names,research,5,Q6197,Гораций,римский поэт,
Гофман,names,research,5,Q224301,Гофман,фамилия - Hoffman,
Гримм В. и Я. (братья),names,research,5,Q948635,Братья,американский фильм 2009 года,
Гримм Я.,names,research,5,Q2748,Гримм,сериал,
Гюргий Иванкович,names,research,5,Q446563,Бранко Иванкович,Хорватский футболист и менеджер,
Данте Алигьери,names,research,4,Q1067,Данте Алигьери,"итальянский поэт, писатель и философ XIV века",
Дарвин,names,research,5,Q11568,Дарвин,"город в Австралии, административный центр Северной территории",
Дарвин Ч.,names,research,5,Q11568,Дарвин,"город в Австралии, административный центр Северной территории",
Ермольцев Д. А.,names,research,1,Q21336176,Ермольцево,"human settlement in Kurbski rural settlement, Yaroslavl Oblast, Russia",
Еськова Н. А.,names,research,2,Q18613584,"Еськова, Евдокия Михайловна",Soviet mineralogist,
Заболотская Т. В.,names,research,4,Q27888054,Заболотская волость,волость Бобруйского уезда Минской губернии Российской империи,
Иаков,names,research,5,Q43999,Иаков Зеведеев,один из двенадцати апостолов Иисуса Христа,
Иван III,names,research,5,Q171185,Иван III Васильевич,"великий князь Московский с 1462 по 1505 год, государь всея Руси",
Иван IV (//Грозный),names,research,5,Q5196,Грозный,столица и крупнейший город Чеченской Республики в составе России,
Иван Грозный,names,research,5,Q7996,Иван Грозный,"царь всея Руси (1547—1584), великий князь Московский и всея Руси (1533—1547)",
Иван Данилович,names,research,5,Q185316,Иван I Данилович Калита,князь Московский; Новгородский; Великий князь Владимирский,
Иван Калита,names,research,1,Q185316,Иван I Данилович Калита,князь Московский; Новгородский; Великий князь Владимирский,
Иванко Захарьинич,names,research,1,Q16654766,Иванко Захарьинич,,
Иванов,names,research,5,Q16654835,Иванов,русская фамилия,
Изяслав,names,research,5,Q841029,Изяслав,город в Шепетовском районе Хмельницкой области Украины,
Изяслав Давыдович,names,research,2,Q498198,Изяслав Давыдович,Grand Prince of Kiev,
Иисус Христос,names,research,5,Q302,Иисус Христос,центральная личность в христианстве,
Иллич-Свитыч В. М.,names,research,1,Q127943,Владислав Маркович Иллич-Свитыч,"советский лингвист-компаративист, один из создателей ностратической теории",
Иоанн Креститель,names,research,5,Q40662,Иоанн Креститель,святой в христианстве,
Иткин А. И.,names,research,5,Q37444785,Иткин,фамилия - Itkin,
Калидаса,names,research,4,Q7011,Калидаса,индийский поэт,
Карамзин Н. М.,names,research,1,Q4343273,Памятник Н. М. Карамзину (Ульяновск),"monument in Ulyanovsk, Russia",
Карл Великий,names,research,4,Q3044,Карл Великий,король франков и император Запада,
Катулл,names,research,5,Q163079,Гай Валерий Катулл,латинский лирический поэт Римской Республики,
Кислов М. Н.,names,research,5,Q56538978,Кислов,фамилия - Кислов,
Козлов С. Л.,names,research,5,Q159124,Мичуринск,город в Тамбовской области России,
Кокорева А. Б.,names,research,5,Q4227368,"Кокорева, Нина Николаевна",Russian writer and poet (1957–2020),
Кочергина В. А.,names,research,5,Q36190626,Кочергина,river in Russia,
Красильников Ю. Д.,names,research,5,Q12794284,Красильников,фамилия,
Лебедева Е. И.,names,research,5,Q15274281,Лебедева,деревня в Гаринском городском округе Свердловской области,
Луховицкий В. В.,names,research,5,Q2627627,Луховицкий район,городской округ в Московской области России,
Мамай,names,research,5,Q333218,Мамай,государственный деятель Золотой Орды,
Мария Богородица,names,research,1,Q276702,Мария Богородица,,
Марциал,names,research,5,Q91611396,Марциал,римский когномен,
Менделеев Д. Н.,names,research,5,Q512077,(2769) Менделеев,астероид,
Милославский Е.,names,research,5,Q1652648,Милославский район,муниципальный район в Рязанской области России,
Михаил Тверской,names,research,2,Q19181888,Михаил Тверской,,
Михаил Юрьевич,names,research,5,Q497566,Михалко Юрьевич,"великий князь владимиро-суздальский, сын Юрия Долгорукого",
Морозов Н. А.,names,research,1,Q4302988,"Морозов, Николай",страница значений,
Морозова Г. П.,names,research,5,Q12797037,Морозов,славянская фамилия,
Нестор Летописец Печерский Киевский,names,research,5,Q3330547,хронист,writer of a chronicle,
Николаев С. Л.,names,research,5,Q41572,Николаев,город на юге Украины; административный центр Николаевской области,
Николаева T. М.,names,research,5,Q19577822,Татьяна Щуренко,украинская легкоатлетка,
Николов B.,names,research,5,Q19829437,Николов,фамилия,
Носов Е. Н.,names,research,5,Q4327581,Носов,фамилия - Носов,
Переверзева С. И.,names,research,3,Q4350015,"Переверзева, Наталья Владимировна",российская топ-модель,
Перцов Н. В.,names,research,5,Q18993135,Перцов,фамилия,
Плавт,names,research,5,Q47160,Плавт,римский комедиограф,
Плутарх,names,research,5,Q41523,Плутарх,"древнегреческий философ, биограф, моралист",
Постникова T. Е.,names,research,5,Q522375,"Постникова, Виктория Валентиновна",Russian pianist,
Пётр I,names,research,5,Q8479,Пётр I,первый император Всероссийский,
Раск Р. К.,names,research,5,Q110773,Раск,"округ в штате Техас, США",
Рем,names,research,5,Q664934,Рем,коммуна во Франции,
Романовы,names,research,5,Q112707,Романовы,"русский боярский род, затем царская и императорская династия",
Ромул,names,research,5,Q2186,Ромул,основатель Рима и первый царь римский,
Руссев Е. М.,names,research,1,Q12727852,Евгений Руссев,Moldovan historian,
Силинг Ю. М.,names,research,5,Q2797957,Силинг (Оклахома),"human settlement in Dewey County, Oklahoma, United States of America",
Сичинава Д. В.,names,research,5,Q7507423,Сичинава,фамилия - Sichinava,
Скалигер,names,research,5,Q7429774,Скалигер,кратер на Луне,
Скалигер И. Ю. (= Ж. Ж.),names,research,5,Q7429774,Скалигер,кратер на Луне,
Скопина М. А.,names,research,3,Q4422155,"Скопина, Людмила Александровна",Soviet actor (1903-1992),
Слуцкий Б. А.,names,research,5,Q21508136,Слуцкий,фамилия,
Станг Хр.,names,research,5,Q16296981,Станг,фамилия - Stang,
Старец С. М.,names,research,5,Q115901913,Пир (ислам),pagan place of worship in Azerbaijan,
Старостин Г. С.,names,research,5,Q83440446,Старостин,фамилия,
Толстая М. Н.,names,research,5,Q29534678,Толстой,фамилия - Толстой,
Толстая Р. А.,names,research,5,Q29534678,Толстой,фамилия - Толстой,
Толстой И. В.,names,research,5,Q1258710,Толстые,русский дворянский род,
Успенский Б. А.,names,research,5,Q18398079,Успенский,фамилия - Успенский,
Успенский В. А.,names,research,5,Q18398079,Успенский,фамилия - Успенский,
Фант Г. И.,names,research,5,Q3796601,Фант,персонаж древнегреческой мифологии,
Феклистова Е. Б.,names,research,1,Q4482434,"Феклистова, Мария Александровна",Russian sports shooter,
Феодосий Печерский,names,research,1,Q2267057,Феодосий Печерский,"православный монах XI века, святой Русской церкви",
Фридрих И.,names,research,5,Q14038597,Фридрих,мужское личное имя - Friedrich,
Фукидид,names,research,5,Q41683,Фукидид,древнегреческий историк,
Хаустов Ф.,names,research,5,Q4496643,Дмитрий Александрович Хаустов,Российский журналист,
Хлебников Велимир,names,research,1,Q35733,Велимир Хлебников,русский поэт и прозаик (1885—1922),
Холодова Е. Б.,names,research,5,Q4499376,Холодовая травма,physical injury caused by exposure of the body to extremely low ambient temperatures,
Христос Иисус,names,research,1,Q11297693,Христос Иисус,,
Цезарь,names,research,5,Q1048,Гай Юлий Цезарь,"древнеримский государственный и политический деятель, диктатор, полководец, писатель",
Цицерон,names,research,5,Q1541,Марк Туллий Цицерон,древнеримский философ и политик,
Чернышева П.,names,research,5,Q56537994,Chernysheva,фамилия,
Чингиз-хан,names,research,4,Q720,Чингисхан,"монгольский полководец, основатель и первый великий хан Монгольской империи",
Шампольон Ф.,names,research,5,Q918846,(3414) Шампольон,астероид,
Ю. П. Миролюбов,names,research,5,Q4177084,Миролюбовка,село в Тульчинском районе Винницкой области Украины,
Юлий Цезарь,names,research,5,Q1048,Гай Юлий Цезарь,"древнеримский государственный и политический деятель, диктатор, полководец, писатель",
Ярослав,names,research,5,Q721928,Ярослав,"город в Польше, Подкарпатское воеводство, Ярославский повят",
Архангельская область,toponyms,research,1,Q1875,Архангельская область,субъект Российской Федерации,
Великороссия,toponyms,research,1,Q1818263,Великая Русь,"историческое название территорией центральной Европейской России, а позднее и всей Руси.",
западный мир,toponyms,research,3,Q160381,Западный мир,понятие в культурологии и политике,
Кировская область,toponyms,research,3,Q5387,Кировская область,субъект Российской Федерации,
Северный Урал,toponyms,research,2,Q2476466,Северный Урал,часть Уральских гор,
Синдху,toponyms,research,5,Q33997,синдхи,язык в Азии,
вентичи,ethnonyms,none,0,,,,
индийцы древние,ethnonyms,none,0,,,,
индийцы современные,ethnonyms,none,0,,,,
кривичи древние,ethnonyms,none,0,,,,
Крита население древнейшее,ethnonyms,none,0,,,,
критяне древние,ethnonyms,none,0,,,,
латыши древние,ethnonyms,none,0,,,,
новгорожане,ethnonyms,none,0,,,,
русские vs. венеты,ethnonyms,none,0,,,,
русские нынешние,ethnonyms,none,0,,,,
русский [люди],ethnonyms,none,0,,,,
русский [человек],ethnonyms,none,0,,,,
русы (русские),ethnonyms,none,0,,,,
славяне восточные,ethnonyms,none,0,,,,
славяне древние,ethnonyms,none,0,,,,
Бажибин В.,names,none,0,,,,
Борунова С. Н.,names,none,0,,,,
Вакернагель Я.,names,none,0,,,,
Гасунс М. Ю.,names,none,0,,,,
Щеголькова Е.,names,none,0,,,,
Грецколань,toponyms,none,0,,,,
киевско-черниговская зона,toponyms,none,0,,,,
критские города,toponyms,none,0,,,,
Литовское княжество Великое,toponyms,none,0,,,,
Переяславская область,toponyms,none,0,,,,
псковская зона,toponyms,none,0,,,,
Римский мир,toponyms,none,0,,,,
ростовско-суздальско- рязанская языковая зона,toponyms,none,0,,,,
Русколань,toponyms,none,0,,,,
русские края,toponyms,none,0,,,,
Русь [древняя],toponyms,none,0,,,,
север [Руси],toponyms,none,0,,,,
северо-запад [Руси],toponyms,none,0,,,,
Фессалоники (Салоники),toponyms,none,0,,,,
Центральная часть [Руси],toponyms,none,0,,,,
Южный Переславль,toponyms,none,0,,,,
