head,type,review_tier,n_candidates,suggested_qid,suggested_label,suggested_desc,decision
венеты,ethnonyms,decide,5,Q220379,Адриатические венеты,"группа племён, населявших северное побережье Адриатического моря",
германцы,ethnonyms,decide,5,Q42884,немцы,"германский народ, основное население Германии, Австрии, Лихтенштейна, и немецкоязычной части Швейцарии",
готы,ethnonyms,decide,5,Q1341201,крымские готы,"группа готов, которая откочевала и обосновалась в Крыму",
индийцы,ethnonyms,decide,5,Q2643509,индийцы в США,жители США индийского происхождения,
франки,ethnonyms,decide,5,Q13474305,Франкистская Испания,Испания в 1939-1975 годах,
А. А. Алексеев,names,decide,1,Q56230551,Александр Алексеевич Алексеев,"советский оператор и режиссёр игрового и неигрового кино, фронтовой кинооператор в годы Великой Отечественной войны",
А. И. Асов,names,decide,5,Q4071386,"Асов, Александр Игоревич",Russian author,
А. Кур (Куренков),names,decide,5,Q112119215,Александр Вячеславович Куренков,"российский государственный деятель, генерал-полковник",
Бопп Фр.,names,decide,5,Q76934,Франц Бопп,German linguist (1791-1861),
Брюллов К.,names,decide,1,Q4768,Карл Павлович Брюллов,"русский художник, живописец, монументалист, акварелист, рисовальщик, представитель академизма",
Вентрис М.,names,decide,5,Q259378,Майкл Вентрис,British architect and linguist (1922-1956),
Вернер К.,names,decide,2,Q4107916,Константин Антонович Вернер,российский статистик-агроном,
Г. В. Носовский,names,decide,5,Q356003,"Носовский, Глеб Владимирович",Russian mathematician,
Голубцова Е. С.,names,decide,5,Q15065457,"Голубцова, Елена Сергеевна",,
Гутенберг И.,names,decide,5,Q8958,Иоганн Гутенберг,немецкий первопечатник,
Лебедев И.,names,decide,1,Q4255751,"Лебедев, Иван Семёнович",,
Лотман Ю. М.,names,decide,5,Q360084,Юрий Михайлович Лотман,"советский и российский литературовед, культуролог и семиотик (1922—1993)",
Носков А.,names,decide,1,Q4327557,"Носков, Александр Алексеевич",генерал-майор,
Носовский Г. В.,names,decide,1,Q356003,"Носовский, Глеб Владимирович",Russian mathematician,
О. В. Творогов,names,decide,5,Q4453338,Олег Викторович Творогов,Russian scientist,
Пилецкий Я.,names,decide,5,Q11718687,Ян Пилецкий,воевода русский,
Поветкин В. И.,names,decide,5,Q4366422,"Поветкин, Владимир Иванович",Russian restorer (1943-2010),
Смирин В. М.,names,decide,1,Q4424528,"Смирин, Владимир Моисеевич","зоолог, художник",
